batsman,batsman_runs
A Ashish Reddy,280.0
A Chandila,4.0
A Chopra,53.0
A Choudhary,25.0
A Dananjaya,4.0
A Flintoff,62.0
A Hales,152.0
A Joseph,15.0
A Kumble,35.0
A Mishra,368.0
A Mithun,34.0
A Mukund,19.0
A Nehra,41.0
A Singh,2.0
A Symonds,974.0
A Turner,4.0
A Uniyal,4.0
A Zampa,5.0
AA Bilakhia,69.0
AA Chavan,12.0
AA Jhunjhunwala,217.0
AA Noffke,9.0
AB Agarkar,179.0
AB Barath,42.0
AB Dinda,26.0
AB McDonald,123.0
AB de Villiers,4428.0
AC Blizzard,120.0
AC Gilchrist,2069.0
AC Thomas,20.0
AC Voges,181.0
AD Mascarenhas,79.0
AD Mathews,724.0
AD Nath,91.0
AD Russell,1445.0
AF Milne,7.0
AG Murtaza,10.0
AG Paunikar,49.0
AJ Finch,1744.0
AJ Tye,94.0
AL Menaria,401.0
AM Nayar,672.0
AM Rahane,3850.0
AN Ahmed,36.0
AN Ghosh,7.0
AP Dole,34.0
AP Majumdar,87.0
AP Tare,339.0
AR Bawne,12.0
AR Patel,806.0
AS Rajpoot,18.0
AS Raut,194.0
AS Yadav,1011.0
AT Rayudu,3326.0
AUK Pathan,39.0
Abdur Razzak,0.0
Anirudh Singh,63.0
Ankit Sharma,164.0
Ankit Soni,7.0
Anureet Singh,37.0
Avesh Khan,4.0
Azhar Mahmood,388.0
B Akhil,76.0
B Chipli,280.0
B Kumar,190.0
B Laughlin,5.0
B Lee,124.0
B Stanlake,5.0
B Sumanth,35.0
BA Bhatt,6.0
BA Stokes,647.0
BAW Mendis,3.0
BB McCullum,2893.0
BB Samantray,125.0
BB Sran,11.0
BCJ Cutting,240.0
BE Hendricks,1.0
BJ Haddin,18.0
BJ Hodge,1400.0
BJ Rohrer,193.0
BMAJ Mendis,23.0
BR Dunk,40.0
Basil Thampi,32.0
Bipul Sharma,187.0
C Ingram,187.0
C Madan,15.0
C Munro,180.0
C Nanda,0.0
C de Grandhomme,313.0
CA Ingram,21.0
CA Lynn,1308.0
CA Pujara,390.0
CH Gayle,4560.0
CH Morris,520.0
CJ Anderson,538.0
CJ Ferguson,98.0
CJ Jordan,3.0
CJ McKay,8.0
CK Kapugedera,16.0
CK Langeveldt,8.0
CL White,971.0
CM Gautam,169.0
CR Brathwaite,188.0
CR Woakes,63.0
CRD Fernando,4.0
D Kalyankrishna,3.0
D Salunkhe,33.0
